,Class,Specificity,Sensitivity,Precision,Accuracy,F1
46,Shelf,"{'Average': 0.9850971638655462, 'Median': 0.9871323529411765, 'Min': 0.9811580882352942, 'Max': 0.9889705882352942}","{'Average': 0.22789115646258482, 'Median': 0.3333333333333333, 'Min': 0.023809523809523808, 'Max': 0.42857142857142855}","{'Average': 0.22789115646258482, 'Median': 0.3333333333333333, 'Min': 0.023809523809523808, 'Max': 0.42857142857142855}","{'Average': 0.9707587272961478, 'Median': 0.9747520288548241, 'Min': 0.9630297565374211, 'Max': 0.9783588818755635}","{'Average': 0.22789115646258482, 'Median': 0.3333333333333333, 'Min': 0.023809523809523808, 'Max': 0.42857142857142855}"
47,Ship,"{'Average': 0.9747136596324532, 'Median': 0.9730858468677495, 'Min': 0.97122969837587, 'Max': 0.9809744779582367}","{'Average': 0.13504661123708733, 'Median': 0.07936507936507936, 'Min': 0.015873015873015872, 'Max': 0.3492063492063492}","{'Average': 0.13504661123708733, 'Median': 0.07936507936507936, 'Min': 0.015873015873015872, 'Max': 0.3492063492063492}","{'Average': 0.9508637840468319, 'Median': 0.9477006311992786, 'Min': 0.9440937781785392, 'Max': 0.9630297565374211}","{'Average': 0.13504661123708733, 'Median': 0.07936507936507936, 'Min': 0.015873015873015872, 'Max': 0.3492063492063492}"
48,Sign,"{'Average': 0.9938871236193072, 'Median': 0.9936450295052202, 'Min': 0.9936450295052202, 'Max': 0.9945528824330458}","{'Average': 0.10222222222222221, 'Median': 0.06666666666666667, 'Min': 0.06666666666666667, 'Max': 0.2}","{'Average': 0.10222222222222221, 'Median': 0.06666666666666667, 'Min': 0.06666666666666667, 'Max': 0.2}","{'Average': 0.9878569281635107, 'Median': 0.9873760144274121, 'Min': 0.9873760144274121, 'Max': 0.9891794409377818}","{'Average': 0.10222222222222221, 'Median': 0.06666666666666667, 'Min': 0.06666666666666667, 'Max': 0.20000000000000004}"
49,Skyscraper,"{'Average': 0.9934419951652667, 'Median': 0.9949977262391997, 'Min': 0.9918144611186903, 'Max': 0.9963619827194179}","{'Average': 0.24099722991689748, 'Median': 0.42105263157894735, 'Min': 0.05263157894736842, 'Max': 0.5789473684210527}","{'Average': 0.24099722991689748, 'Median': 0.42105263157894735, 'Min': 0.05263157894736842, 'Max': 0.5789473684210527}","{'Average': 0.986996345688387, 'Median': 0.9900811541929666, 'Min': 0.9837691614066727, 'Max': 0.9927862939585211}","{'Average': 0.24099722991689748, 'Median': 0.42105263157894735, 'Min': 0.05263157894736842, 'Max': 0.5789473684210527}"
50,Starship,"{'Average': 0.9879798903107861, 'Median': 0.9876599634369287, 'Min': 0.9867458866544789, 'Max': 0.9894881170018281}","{'Average': 0.12333333333333336, 'Median': 0.1, 'Min': 0.03333333333333333, 'Max': 0.23333333333333334}","{'Average': 0.12333333333333336, 'Median': 0.1, 'Min': 0.03333333333333333, 'Max': 0.23333333333333334}","{'Average': 0.9762849413886381, 'Median': 0.975653742110009, 'Min': 0.9738503155996393, 'Max': 0.9792605951307484}","{'Average': 0.12333333333333336, 'Median': 0.10000000000000002, 'Min': 0.03333333333333333, 'Max': 0.23333333333333334}"
51,SubmachineGun,"{'Average': 0.9925386715195632, 'Median': 0.991810737033667, 'Min': 0.9913557779799818, 'Max': 0.9940855323020928}","{'Average': 0.17999999999999997, 'Median': 0.1, 'Min': 0.05, 'Max': 0.35}","{'Average': 0.17999999999999997, 'Median': 0.1, 'Min': 0.05, 'Max': 0.35}","{'Average': 0.9852119026149685, 'Median': 0.9837691614066727, 'Min': 0.9828674481514879, 'Max': 0.9882777276825969}","{'Average': 0.17999999999999997, 'Median': 0.10000000000000002, 'Min': 0.05000000000000001, 'Max': 0.35}"
52,Sword,"{'Average': 0.9864159386320053, 'Median': 0.9806094182825484, 'Min': 0.9764542936288089, 'Max': 0.9912280701754386}","{'Average': 0.43417159763313606, 'Median': 0.19230769230769232, 'Min': 0.019230769230769232, 'Max': 0.6346153846153846}","{'Average': 0.43417159763313606, 'Median': 0.19230769230769232, 'Min': 0.019230769230769232, 'Max': 0.6346153846153846}","{'Average': 0.9734688215301378, 'Median': 0.9621280432822362, 'Min': 0.9540126239855726, 'Max': 0.9828674481514879}","{'Average': 0.43417159763313606, 'Median': 0.19230769230769232, 'Min': 0.019230769230769232, 'Max': 0.6346153846153846}"
53,Tool,"{'Average': 0.9832878909382519, 'Median': 0.9820689655172414, 'Min': 0.9806896551724138, 'Max': 0.9871264367816092}","{'Average': 0.1546782044348297, 'Median': 0.09302325581395349, 'Min': 0.023255813953488372, 'Max': 0.3488372093023256}","{'Average': 0.1546782044348297, 'Median': 0.09302325581395349, 'Min': 0.023255813953488372, 'Max': 0.3488372093023256}","{'Average': 0.9672237716778159, 'Median': 0.9648331830477908, 'Min': 0.9621280432822362, 'Max': 0.9747520288548241}","{'Average': 0.1546782044348297, 'Median': 0.09302325581395347, 'Min': 0.02325581395348837, 'Max': 0.3488372093023256}"
54,Train,"{'Average': 0.9959692028985507, 'Median': 0.9959239130434783, 'Min': 0.9959239130434783, 'Max': 0.9963768115942029}","{'Average': 0.10999999999999999, 'Median': 0.1, 'Min': 0.1, 'Max': 0.2}","{'Average': 0.10999999999999999, 'Median': 0.1, 'Min': 0.1, 'Max': 0.2}","{'Average': 0.9919747520288549, 'Median': 0.9918845807033363, 'Min': 0.9918845807033363, 'Max': 0.9927862939585211}","{'Average': 0.11000000000000001, 'Median': 0.10000000000000002, 'Min': 0.10000000000000002, 'Max': 0.20000000000000004}"
55,Tree,"{'Average': 0.9805854738967233, 'Median': 0.981114693689544, 'Min': 0.9788116075541226, 'Max': 0.9824965453707969}","{'Average': 0.10321412403802627, 'Median': 0.1276595744680851, 'Min': 0.02127659574468085, 'Max': 0.19148936170212766}","{'Average': 0.10321412403802627, 'Median': 0.1276595744680851, 'Min': 0.02127659574468085, 'Max': 0.19148936170212766}","{'Average': 0.9619937455633792, 'Median': 0.9630297565374211, 'Min': 0.9585211902614968, 'Max': 0.9657348963029756}","{'Average': 0.10321412403802627, 'Median': 0.1276595744680851, 'Min': 0.02127659574468085, 'Max': 0.19148936170212763}"
56,Truck,"{'Average': 0.9892996602261778, 'Median': 0.9885896850753081, 'Min': 0.9881332724783204, 'Max': 0.9913281606572342}","{'Average': 0.1316872427983539, 'Median': 0.07407407407407407, 'Min': 0.037037037037037035, 'Max': 0.2962962962962963}","{'Average': 0.1316872427983539, 'Median': 0.07407407407407407, 'Min': 0.037037037037037035, 'Max': 0.2962962962962963}","{'Average': 0.9788598336839998, 'Median': 0.9774571686203787, 'Min': 0.9765554553651938, 'Max': 0.9828674481514879}","{'Average': 0.1316872427983539, 'Median': 0.07407407407407407, 'Min': 0.037037037037037035, 'Max': 0.2962962962962963}"
57,Vase,"{'Average': 0.9924128192240493, 'Median': 0.9918144611186903, 'Min': 0.9918144611186903, 'Max': 0.9931787175989086}","{'Average': 0.12188365650969529, 'Median': 0.05263157894736842, 'Min': 0.05263157894736842, 'Max': 0.21052631578947367}","{'Average': 0.12188365650969529, 'Median': 0.05263157894736842, 'Min': 0.05263157894736842, 'Max': 0.21052631578947367}","{'Average': 0.9849556262161264, 'Median': 0.9837691614066727, 'Min': 0.9837691614066727, 'Max': 0.9864743011722272}","{'Average': 0.12188365650969529, 'Median': 0.05263157894736842, 'Min': 0.05263157894736842, 'Max': 0.21052631578947367}"
58,Wheel,"{'Average': 0.9935858032445146, 'Median': 0.9927305770104498, 'Min': 0.9927305770104498, 'Max': 0.9954566106315311}","{'Average': 0.16955017301038058, 'Median': 0.058823529411764705, 'Min': 0.058823529411764705, 'Max': 0.4117647058823529}","{'Average': 0.16955017301038058, 'Median': 0.058823529411764705, 'Min': 0.058823529411764705, 'Max': 0.4117647058823529}","{'Average': 0.9872699305150374, 'Median': 0.9855725879170424, 'Min': 0.9855725879170424, 'Max': 0.9909828674481514}","{'Average': 0.16955017301038058, 'Median': 0.058823529411764705, 'Min': 0.058823529411764705, 'Max': 0.4117647058823529}"
59,WheelChair,"{'Average': 0.9932666060054596, 'Median': 0.9940855323020928, 'Min': 0.9913557779799818, 'Max': 0.9949954504094631}","{'Average': 0.25999999999999995, 'Median': 0.35, 'Min': 0.05, 'Max': 0.45}","{'Average': 0.25999999999999995, 'Median': 0.35, 'Min': 0.05, 'Max': 0.45}","{'Average': 0.9866546438232641, 'Median': 0.9882777276825969, 'Min': 0.9828674481514879, 'Max': 0.9900811541929666}","{'Average': 0.25999999999999995, 'Median': 0.35, 'Min': 0.05000000000000001, 'Max': 0.45}"
