,class,file,truePositives,falsePositives,trueNegatives,falseNegatives,Specificity,Sensitivity,Precision,Accuracy,F1
1910,Sign,m1682.obj,3,12,2191,12,0.9945528824330458,0.2,0.2,0.9891794409377818,0.20000000000000004
1911,Sign,m1683.obj,1,14,2189,14,0.9936450295052202,0.06666666666666667,0.06666666666666667,0.9873760144274121,0.06666666666666667
1912,Sign,m1684.obj,1,14,2189,14,0.9936450295052202,0.06666666666666667,0.06666666666666667,0.9873760144274121,0.06666666666666667
1913,Sign,m1685.obj,1,14,2189,14,0.9936450295052202,0.06666666666666667,0.06666666666666667,0.9873760144274121,0.06666666666666667
1914,Skyscraper,D00006.obj,6,13,2186,13,0.9940882219190541,0.3157894736842105,0.3157894736842105,0.9882777276825969,0.3157894736842105
1915,Skyscraper,D00058.obj,11,8,2191,8,0.9963619827194179,0.5789473684210527,0.5789473684210527,0.9927862939585211,0.5789473684210527
1916,Skyscraper,D00059.obj,2,17,2182,17,0.992269213278763,0.10526315789473684,0.10526315789473684,0.9846708746618575,0.10526315789473684
1917,Skyscraper,D00105.obj,2,17,2182,17,0.992269213278763,0.10526315789473684,0.10526315789473684,0.9846708746618575,0.10526315789473684
1918,Skyscraper,D00125.obj,2,17,2182,17,0.992269213278763,0.10526315789473684,0.10526315789473684,0.9846708746618575,0.10526315789473684
1919,Skyscraper,D00126.obj,11,8,2191,8,0.9963619827194179,0.5789473684210527,0.5789473684210527,0.9927862939585211,0.5789473684210527
1920,Skyscraper,D00130.obj,1,18,2181,18,0.9918144611186903,0.05263157894736842,0.05263157894736842,0.9837691614066727,0.05263157894736842
1921,Skyscraper,D00259.obj,6,13,2186,13,0.9940882219190541,0.3157894736842105,0.3157894736842105,0.9882777276825969,0.3157894736842105
1922,Skyscraper,D00300.obj,1,18,2181,18,0.9918144611186903,0.05263157894736842,0.05263157894736842,0.9837691614066727,0.05263157894736842
1923,Skyscraper,D00520.obj,8,11,2188,11,0.9949977262391997,0.42105263157894735,0.42105263157894735,0.9900811541929666,0.42105263157894735
1924,Skyscraper,D00532.obj,2,17,2182,17,0.992269213278763,0.10526315789473684,0.10526315789473684,0.9846708746618575,0.10526315789473684
1925,Skyscraper,D00584.obj,9,10,2189,10,0.9954524783992724,0.47368421052631576,0.47368421052631576,0.9909828674481514,0.47368421052631576
